model_fct,model_u,model_v
2022-06-22 00:00:00,-0.9098,4.58413
2022-06-22 01:00:00,-1.33382,3.67538
2022-06-22 02:00:00,-1.9778,4.82668
2022-06-22 03:00:00,-1.74986,4.00931
2022-06-22 04:00:00,-1.93954,3.93621
2022-06-22 05:00:00,-1.92839,5.50949
2022-06-22 06:00:00,-0.70418,6.07434
2022-06-22 07:00:00,-0.34074,5.44968
2022-06-22 08:00:00,-0.26741,5.17889
2022-06-22 09:00:00,-0.68505,4.38145
2022-06-22 10:00:00,-1.09949,4.57084
2022-06-22 11:00:00,-1.39758,4.50272
2022-06-22 12:00:00,-1.94592,4.63231
2022-06-22 13:00:00,-2.95813,4.63729
2022-06-22 14:00:00,-3.08087,4.9031
2022-06-22 15:00:00,-2.61222,3.91793
2022-06-22 16:00:00,-0.31364,2.98925
2022-06-22 17:00:00,1.35371,2.06223
2022-06-22 18:00:00,1.46689,2.43603
2022-06-22 19:00:00,0.97593,4.59077
2022-06-22 20:00:00,0.96636,3.75346
2022-06-22 21:00:00,1.06678,4.78349
2022-06-22 22:00:00,2.81065,6.41824
2022-06-22 23:00:00,2.60342,6.93658
2022-06-23 00:00:00,0.73204,8.0829
2022-06-23 01:00:00,0.07211,9.1395
2022-06-23 02:00:00,-0.01875,9.10129
2022-06-23 03:00:00,0.02429,9.81068
2022-06-23 04:00:00,-0.8588,11.11317
2022-06-23 05:00:00,-1.53466,11.25106
2022-06-23 06:00:00,0.57583,11.64479
2022-06-23 07:00:00,0.75595,11.38064
2022-06-23 08:00:00,0.85478,11.95048
2022-06-23 09:00:00,1.6486,12.57016
2022-06-23 10:00:00,1.46848,12.65488
2022-06-23 11:00:00,1.96103,13.45232
2022-06-23 12:00:00,2.44721,13.03367
2022-06-23 13:00:00,3.45463,12.49041
2022-06-23 14:00:00,4.57683,12.98715
2022-06-23 15:00:00,5.45992,13.01872
2022-06-23 16:00:00,5.24313,11.50856
2022-06-23 17:00:00,3.81807,10.66793
2022-06-23 18:00:00,5.6767,10.47189
2022-06-23 19:00:00,5.34515,9.77579
2022-06-23 20:00:00,4.78246,10.34729
2022-06-23 21:00:00,4.35207,8.39523
2022-06-23 22:00:00,4.35048,7.09606
2022-06-23 23:00:00,4.28671,7.06948
2022-06-24 00:00:00,4.3425,6.35013
2022-06-24 01:00:00,3.99182,5.90655
2022-06-24 02:00:00,4.55929,6.19894
2022-06-24 03:00:00,4.38873,6.9183
2022-06-24 04:00:00,3.93603,6.47971
2022-06-24 05:00:00,3.89458,5.91319
2022-06-24 06:00:00,3.77981,6.13748
2022-06-24 07:00:00,3.91531,6.23882
2022-06-24 08:00:00,3.3032,6.62591
2022-06-24 09:00:00,3.20756,7.26884
2022-06-24 10:00:00,3.70649,7.52635
2022-06-24 11:00:00,4.83825,7.36022
2022-06-24 12:00:00,4.96736,6.95651
2022-06-24 13:00:00,3.944,7.24392
2022-06-24 14:00:00,4.24208,6.73722
2022-06-24 15:00:00,4.16397,6.67907
2022-06-24 16:00:00,3.75272,6.00291
2022-06-24 17:00:00,3.06569,5.22374
2022-06-24 18:00:00,3.15814,4.92304
2022-06-24 19:00:00,3.51361,4.9164
2022-06-24 20:00:00,4.07471,4.53595
2022-06-24 21:00:00,4.80637,5.14732
2022-06-24 22:00:00,5.86639,5.49454
2022-06-24 23:00:00,6.47531,3.93289
2022-06-25 00:00:00,5.36587,2.69519
