model_fct,model_u,model_v
2022-08-11 00:00:00,2.33403,3.81327
2022-08-11 01:00:00,2.32128,4.70208
2022-08-11 02:00:00,2.07261,5.80521
2022-08-11 03:00:00,0.62683,7.04622
2022-08-11 04:00:00,1.68527,11.14805
2022-08-11 05:00:00,4.84462,10.74269
2022-08-11 06:00:00,5.98754,8.97171
2022-08-11 07:00:00,4.95142,8.21912
2022-08-11 08:00:00,5.24153,7.32533
2022-08-11 09:00:00,4.6629,7.18079
2022-08-11 10:00:00,4.42061,6.95651
2022-08-11 11:00:00,4.48278,6.37172
2022-08-11 12:00:00,4.25962,5.64406
2022-08-11 13:00:00,4.25005,4.95128
2022-08-11 14:00:00,3.14699,5.83013
2022-08-11 15:00:00,2.42489,6.37837
2022-08-11 16:00:00,3.1422,6.12751
2022-08-11 17:00:00,2.80427,6.22719
2022-08-11 18:00:00,2.98599,5.84674
2022-08-11 19:00:00,3.84039,5.22706
2022-08-11 20:00:00,4.53219,3.8465
2022-08-11 21:00:00,4.38554,3.18363
2022-08-11 22:00:00,4.19745,1.07207
2022-08-11 23:00:00,2.92701,-2.07449
2022-08-12 00:00:00,1.34574,-2.83704
2022-08-12 01:00:00,0.77667,-2.20242
2022-08-12 02:00:00,0.35107,-1.57775
2022-08-12 03:00:00,0.35904,-1.38338
2022-08-12 04:00:00,0.41802,-1.65251
2022-08-12 05:00:00,0.03864,-1.77545
2022-08-12 06:00:00,-0.67708,-1.54619
2022-08-12 07:00:00,-1.57611,-1.4598
2022-08-12 08:00:00,-2.02243,-0.73546
2022-08-12 09:00:00,-2.2711,0.57533
2022-08-12 10:00:00,-1.89491,1.52395
2022-08-12 11:00:00,-0.03309,2.80983
2022-08-12 12:00:00,0.54235,1.86785
2022-08-12 13:00:00,0.42121,0.84613
2022-08-12 14:00:00,0.60771,0.2331
2022-08-12 15:00:00,0.2363,0.00217
2022-08-12 16:00:00,-0.39812,0.51885
2022-08-12 17:00:00,-1.28918,1.77149
2022-08-12 18:00:00,-1.86622,2.4028
2022-08-12 19:00:00,-1.59045,2.24497
2022-08-12 20:00:00,-1.88535,2.43104
2022-08-12 21:00:00,-2.36993,2.54401
2022-08-12 22:00:00,-2.18981,3.09391
2022-08-12 23:00:00,-1.37685,3.02746
2022-08-13 00:00:00,-1.90129,3.47104
2022-08-13 01:00:00,-1.46612,4.30502
2022-08-13 02:00:00,-1.61596,4.98451
2022-08-13 03:00:00,-1.62233,5.30847
2022-08-13 04:00:00,-1.69885,5.9215
2022-08-13 05:00:00,-2.21372,5.87831
2022-08-13 06:00:00,-2.63613,6.29364
2022-08-13 07:00:00,-2.38268,6.58437
2022-08-13 08:00:00,-1.85347,6.92993
2022-08-13 09:00:00,-1.12659,6.82361
2022-08-13 10:00:00,-0.12555,6.93824
2022-08-13 11:00:00,0.29687,6.45645
2022-08-13 12:00:00,0.97593,5.66566
2022-08-13 13:00:00,3.59331,1.16178
2022-08-13 14:00:00,1.89727,-4.94029
2022-08-13 15:00:00,2.61139,-4.29902
2022-08-13 16:00:00,2.75804,-4.53326
2022-08-13 17:00:00,1.01578,-4.06145
2022-08-13 18:00:00,1.97697,-2.17916
2022-08-13 19:00:00,1.14649,-1.09929
2022-08-13 20:00:00,0.86594,-0.37495
2022-08-13 21:00:00,1.49558,3.78835
2022-08-13 22:00:00,4.17991,1.93929
2022-08-13 23:00:00,2.40895,3.13877
2022-08-14 00:00:00,2.25433,7.34028
