model_fct,model_u,model_v
2022-06-03 00:00:00,-2.8848,-3.80726
2022-06-03 01:00:00,-1.26208,-3.17596
2022-06-03 02:00:00,-1.49959,-3.13608
2022-06-03 03:00:00,-1.29237,-2.40178
2022-06-03 04:00:00,-0.964,-2.71078
2022-06-03 05:00:00,-1.65262,-2.6543
2022-06-03 06:00:00,-2.51658,-2.41008
2022-06-03 07:00:00,-3.44749,-2.74567
2022-06-03 08:00:00,-4.59519,-3.08624
2022-06-03 09:00:00,-4.93312,-2.64433
2022-06-03 10:00:00,-5.70782,-1.79705
2022-06-03 11:00:00,-5.95011,-0.64575
2022-06-03 12:00:00,-5.85287,-0.1108
2022-06-03 13:00:00,-5.73332,-0.16728
2022-06-03 14:00:00,-5.03514,0.98236
2022-06-03 15:00:00,-4.31464,1.68012
2022-06-03 16:00:00,-3.98627,1.71833
2022-06-03 17:00:00,-4.39434,1.46082
2022-06-03 18:00:00,-4.18234,1.39935
2022-06-03 19:00:00,-4.2732,1.54555
2022-06-03 20:00:00,-4.47723,2.36957
2022-06-03 21:00:00,-4.67011,2.91781
2022-06-03 22:00:00,-4.71315,2.9527
2022-06-03 23:00:00,-3.93686,3.92458
2022-06-04 00:00:00,-4.09785,4.11729
2022-06-04 01:00:00,-3.95758,5.02272
2022-06-04 02:00:00,-4.23016,5.25198
2022-06-04 03:00:00,-4.48042,5.47294
2022-06-04 04:00:00,-4.56331,5.80521
2022-06-04 05:00:00,-4.42941,5.95307
2022-06-04 06:00:00,-4.89008,6.23549
2022-06-04 07:00:00,-4.68924,6.3385
2022-06-04 08:00:00,-4.99529,5.97633
2022-06-04 09:00:00,-6.34383,5.47128
2022-06-04 10:00:00,-6.85552,4.85326
2022-06-04 11:00:00,-7.24765,4.34656
2022-06-04 12:00:00,-7.02289,4.15883
2022-06-04 13:00:00,-7.41502,4.06413
2022-06-04 14:00:00,-7.15041,4.57914
2022-06-04 15:00:00,-7.11853,4.36317
2022-06-04 16:00:00,-7.686,5.1224
2022-06-04 17:00:00,-7.6079,4.57084
2022-06-04 18:00:00,-7.84859,4.85659
2022-06-04 19:00:00,-7.06433,5.30681
2022-06-04 20:00:00,-7.51863,5.09084
2022-06-04 21:00:00,-8.26623,4.3233
2022-06-04 22:00:00,-8.36984,3.88471
2022-06-04 23:00:00,-8.21522,3.7734
2022-06-05 00:00:00,-8.3539,3.66375
2022-06-05 01:00:00,-8.50852,2.87628
2022-06-05 02:00:00,-9.08077,2.84305
2022-06-05 03:00:00,-9.24177,2.95104
2022-06-05 04:00:00,-9.47928,2.23667
2022-06-05 05:00:00,-9.34219,2.06555
2022-06-05 06:00:00,-9.42986,1.11859
2022-06-05 07:00:00,-9.21627,0.15169
2022-06-05 08:00:00,-9.5271,-0.53111
2022-06-05 09:00:00,-10.52337,-1.2621
2022-06-05 10:00:00,-11.78424,-1.4382
2022-06-05 11:00:00,-12.55894,-0.91987
2022-06-05 12:00:00,-12.82195,-1.02619
2022-06-05 13:00:00,-12.66255,-0.69559
2022-06-05 14:00:00,-11.73323,-1.17903
2022-06-05 15:00:00,-11.63281,-1.08268
2022-06-05 16:00:00,-11.37936,-1.82695
2022-06-05 17:00:00,-11.40805,-2.39347
2022-06-05 18:00:00,-10.83898,-2.81545
2022-06-05 19:00:00,-10.15355,-3.82886
2022-06-05 20:00:00,-9.80287,-4.68611
2022-06-05 21:00:00,-9.82837,-5.44866
2022-06-05 22:00:00,-9.74389,-6.30092
2022-06-05 23:00:00,-9.70722,-6.76776
2022-06-06 00:00:00,-9.48725,-7.40405
