model_fct,model_u,model_v
2022-06-07 00:00:00,-2.38906,-8.24136
2022-06-07 01:00:00,-2.30936,-7.73631
2022-06-07 02:00:00,-1.80246,-7.48545
2022-06-07 03:00:00,-1.40076,-6.899
2022-06-07 04:00:00,-1.64465,-6.88405
2022-06-07 05:00:00,-1.45018,-6.68469
2022-06-07 06:00:00,-1.00226,-6.85082
2022-06-07 07:00:00,-1.31469,-6.49032
2022-06-07 08:00:00,-1.50119,-6.24112
2022-06-07 09:00:00,-1.81043,-6.20789
2022-06-07 10:00:00,-1.8439,-6.33581
2022-06-07 11:00:00,-2.09257,-6.07332
2022-06-07 12:00:00,-2.29979,-5.64802
2022-06-07 13:00:00,-2.21372,-5.0516
2022-06-07 14:00:00,-2.032,-4.90374
2022-06-07 15:00:00,-1.66218,-4.21429
2022-06-07 16:00:00,-0.43479,-4.52496
2022-06-07 17:00:00,0.2347,-4.69774
2022-06-07 18:00:00,0.41164,-5.43205
2022-06-07 19:00:00,0.61727,-6.2677
2022-06-07 20:00:00,0.31441,-6.21786
2022-06-07 21:00:00,-0.04425,-6.19128
2022-06-07 22:00:00,-0.78069,-5.91549
2022-06-07 23:00:00,-1.32106,-4.95026
2022-06-08 00:00:00,-1.64306,-4.61966
2022-06-08 01:00:00,-1.11543,-4.17774
2022-06-08 02:00:00,-0.77112,-4.32228
2022-06-08 03:00:00,-0.80779,-4.74425
2022-06-08 04:00:00,-1.05167,-4.71601
2022-06-08 05:00:00,-1.21586,-4.40534
2022-06-08 06:00:00,-1.16963,-4.01991
2022-06-08 07:00:00,-1.4725,-3.67269
2022-06-08 08:00:00,-2.00012,-3.17762
2022-06-08 09:00:00,-1.84231,-2.45494
2022-06-08 10:00:00,-2.244,-2.45494
2022-06-08 11:00:00,-2.21212,-1.61098
2022-06-08 12:00:00,-2.13561,-1.01124
2022-06-08 13:00:00,-1.30991,-0.5876
2022-06-08 14:00:00,-1.10746,-0.20549
2022-06-08 15:00:00,-1.36729,0.32613
2022-06-08 16:00:00,-1.06124,0.23974
2022-06-08 17:00:00,-0.84923,0.18492
2022-06-08 18:00:00,-0.78388,0.13674
2022-06-08 19:00:00,-1.13934,0.46568
2022-06-08 20:00:00,-1.09471,1.03718
2022-06-08 21:00:00,-1.18238,1.44255
2022-06-08 22:00:00,-1.37367,1.55386
2022-06-08 23:00:00,-1.59842,1.82466
2022-06-09 00:00:00,-1.49481,1.63859
2022-06-09 01:00:00,-0.85242,2.15028
2022-06-09 02:00:00,-0.84445,2.39283
2022-06-09 03:00:00,-1.10428,2.59385
2022-06-09 04:00:00,-2.33327,3.04075
2022-06-09 05:00:00,-2.3237,2.87462
2022-06-09 06:00:00,-3.23708,2.11705
2022-06-09 07:00:00,-3.40924,2.8796
2022-06-09 08:00:00,-3.32316,3.35142
2022-06-09 09:00:00,-2.96131,2.99756
2022-06-09 10:00:00,-3.45706,3.12714
2022-06-09 11:00:00,-4.03409,3.50925
2022-06-09 12:00:00,-3.30562,3.80496
2022-06-09 13:00:00,-2.58034,3.81161
2022-06-09 14:00:00,-2.02722,3.95282
2022-06-09 15:00:00,-1.37685,3.55576
2022-06-09 16:00:00,-1.3386,2.97928
2022-06-09 17:00:00,-1.79608,2.79487
2022-06-09 18:00:00,-1.71957,3.15704
2022-06-09 19:00:00,-1.66059,2.89289
2022-06-09 20:00:00,-1.7387,3.00919
2022-06-09 21:00:00,-1.44699,2.62376
2022-06-09 22:00:00,-1.67175,2.51245
2022-06-09 23:00:00,-1.77377,2.63705
2022-06-10 00:00:00,-2.02562,2.56893
