corr_fct,corr_u,corr_v
2022-06-08 00:00:00,-2.266035,-3.772956
2022-06-08 01:00:00,-1.808896,-3.479431
2022-06-08 02:00:00,-1.541942,-3.648941
2022-06-08 03:00:00,-1.601024,-3.996998
2022-06-08 04:00:00,-1.793240,-3.941710
2022-06-08 05:00:00,-1.900759,-3.662249
2022-06-08 06:00:00,-1.833973,-3.349503
2022-06-08 07:00:00,-2.050061,-3.020527
2022-06-08 08:00:00,-2.435583,-2.537525
2022-06-08 09:00:00,-2.254487,-1.959354
2022-06-08 10:00:00,-2.575381,-1.905860
2022-06-08 11:00:00,-2.486395,-1.209385
2022-06-08 12:00:00,-2.379561,-0.722381
2022-06-08 13:00:00,-1.684641,-0.485096
2022-06-08 14:00:00,-1.492772,-0.196614
2022-06-08 15:00:00,-1.660774,0.279964
2022-06-08 16:00:00,-1.420238,0.164132
2022-06-08 17:00:00,-1.252825,0.087527
2022-06-08 18:00:00,-1.202580,0.036634
2022-06-08 19:00:00,-1.462202,0.357629
2022-06-08 20:00:00,-1.383020,0.825509
2022-06-08 21:00:00,-1.422189,1.173283
2022-06-08 22:00:00,-1.566106,1.290494
2022-06-08 23:00:00,-1.725141,1.545096
2022-06-09 00:00:00,-1.654341,1.374135
2022-06-09 01:00:00,-1.100006,1.709955
2022-06-09 02:00:00,-1.074419,1.909009
2022-06-09 03:00:00,-1.266727,2.110342
2022-06-09 04:00:00,-2.218461,2.649763
2022-06-09 05:00:00,-2.221637,2.508346
2022-06-09 06:00:00,-3.008730,2.001537
2022-06-09 07:00:00,-3.089420,2.658313
2022-06-09 08:00:00,-2.984313,3.037499
2022-06-09 09:00:00,-2.718678,2.691303
2022-06-09 10:00:00,-3.105503,2.865625
2022-06-09 11:00:00,-3.538969,3.261381
2022-06-09 12:00:00,-2.931457,3.405537
2022-06-09 13:00:00,-2.347755,3.309472
2022-06-09 14:00:00,-1.892276,3.349130
2022-06-09 15:00:00,-1.398352,2.927260
2022-06-09 16:00:00,-1.408691,2.440254
2022-06-09 17:00:00,-1.787900,2.347894
2022-06-09 18:00:00,-1.698532,2.637107
2022-06-09 19:00:00,-1.669277,2.407282
2022-06-09 20:00:00,-1.722029,2.513071
2022-06-09 21:00:00,-1.514984,2.150244
2022-06-09 22:00:00,-1.702121,2.086717
2022-06-09 23:00:00,-1.773445,2.202708
